Transcript level ProbeID,SYMBOL,logFC,AveExpr,t,P.Value,adj.P.Val,B
TC12001277.hg.1, ERP27 ,-1.986762512,5.42833359240217,-2.772268549,0.0192887840453474,0.161839357978715,-3.408594286
TC13000228.hg.1, OLFM4 ,-1.986290724,8.45568778877643,-1.592596068,0.141592067978036,0.457142052795987,-5.244319537
TC05001970.hg.1, HAND1 ,1.98243530320127,4.53923074260794,2.65092135856905,0.0238084157543055,0.181087241613555,-3.610250618
TC08001214.hg.1, LOC100507516 ,1.98122575435627,4.72260687536242,3.32575945167886,0.00742318859799406,0.0995696691823903,-2.482683207
TC0X000978.hg.1, MAOB ,1.97797872868248,4.70741849481343,3.68771035302632,0.00402269021226309,0.0735790388800074,-1.882493813
TC10000771.hg.1, INA ,1.97578675311954,3.61156221490135,3.59811285303785,0.00467586334085427,0.0795222630687737,-2.030172822
TC21000345.hg.1, ADAMTS1 ,1.96594502018207,5.7683764265254,3.73701701809001,0.00370439043121052,0.0709387975638647,-1.801528915
TC11000261.hg.1, ANO5 ,1.96480335803839,3.3739880481217,5.36965433632428,0.000289200111135206,0.0214011116868711,0.702643127197265
TC08001081.hg.1, CLU ,1.96380898805557,6.77508671128998,5.00134313057577,0.000497645221727534,0.0272988725563389,0.171977898512576
TC19000459.hg.1, FXYD1 ,1.96247057173548,5.9237807077428,4.08922170766036,0.00207297989574447,0.0541419565966896,-1.230565458
TC07001506.hg.1, CLDN3 ,-1.961131533,8.56095077373293,-3.629204562,0.00443756093860181,0.0774245695381038,-1.978848472
TC11002038.hg.1, DHCR7 ,-1.960739523,7.10382754621296,-8.70912527,4.69934219284752e-06,0.00494500915189337,4.58753267600304
TC19000571.hg.1, CYP2B6 ,-1.951442267,5.88897927913874,-2.756670152,0.0198178854988354,0.164483551728183,-3.434578645
TC08001248.hg.1, TOX ,1.94933701809541,6.15205668389731,5.82635640455953,0.000151532446453202,0.0172641724090778,1.33083330942536
TC15000068.hg.1, SNORD116-25 ,1.94609235681758,6.60585931715344,4.52403166358589,0.00103495553052745,0.0386589877539129,-0.546985297
TC08001455.hg.1, TSPYL5 ,1.94429995039874,3.60565321887054,3.75270402648711,0.00360870670417322,0.070128636786555,-1.775817854
TC18000288.hg.1, MYOM1 ,1.94295423695161,3.972438193,3.18983564554059,0.00937080565430667,0.11186542020167,-2.709931338
TC18000175.hg.1, LIPG ,-1.941724242,5.92612872104365,-3.983415562,0.00246401393906161,0.058567460405946,-1.400620502
TC04001819.hg.1, PDLIM3 ,1.93805489852892,5.38690813485222,3.62977213736709,0.00443332971528229,0.0774217665131388,-1.977912299
TC02001030.hg.1, ITGA6 ,-1.937770765,6.88668898924844,-5.036147007,0.000472372326210158,0.0266304919067621,0.223036240951545
TC15000050.hg.1, SNORD116-3 ,1.93505523111413,9.20801101745741,6.08256354767142,0.000106791306359459,0.0151685311644546,1.66884274224722
TC15000055.hg.1, SNORD116-9 ,1.93505523111413,9.20801101745741,6.08256354767142,0.000106791306359459,0.0151685311644546,1.66884274224722
TC04000396.hg.1, SLC4A4 ,1.93377189413298,5.07560330541863,2.09494641577037,0.0619404333129525,0.303346472321178,-4.507755396
TC12001377.hg.1, PKP2 ,-1.932969163,7.09008043244503,-2.982072085,0.0134094034856558,0.134557701778471,-3.057936473
TC18000160.hg.1, SETBP1 ,1.93265331596698,5.72522715695363,6.06683198355273,0.000109082600550038,0.015203225767965,1.64838377170941
TC05002011.hg.1, ATP10B ,-1.932278325,6.9627342234565,-3.055611914,0.0118089534600821,0.125801597106793,-2.93474741
TC06000114.hg.1, CAP2 ,1.92869178543955,5.53187040340994,2.73890031885217,0.0204383757770363,0.16734811713916,-3.46415994
TC20000076.hg.1, PLCB4 ,-1.92500765,7.04879575056725,-5.200491711,0.000370183980719252,0.0239638875011197,0.461569050184744
TC0X000521.hg.1, CLDN2 ,-1.923528722,4.59093044695618,-3.957481776,0.0025711719084763,0.0597452245474379,-1.442504307
TC03001862.hg.1, SLC9A9 ,1.92306635308595,4.61716167658771,8.33651518507627,6.99078455640097e-06,0.0059121399207304,4.22867506774789
TC16001225.hg.1, NQO1 ,-1.919863908,7.1993348908028,-4.703644364,0.000782723353474272,0.033740830719478,-0.272401935
TC05001545.hg.1, SSBP2 ,1.91962950159792,6.17926704656012,6.85380592627026,3.92476280399673e-05,0.00977031377566161,2.62559163041088
TC0X001190.hg.1, POF1B ,-1.916428396,6.7430681163104,-3.0294397,0.0123550330615729,0.128967930570025,-2.978594599
TC07000726.hg.1, CFTR ,-1.907929607,5.70197940693878,-2.434861315,0.0346088867821731,0.221541483392865,-3.965461999
TC07000735.hg.1, CPED1 ,1.90574292282858,4.96417212846659,3.18838581146056,0.0093941886319772,0.111966598765072,-2.712358298
TC08000700.hg.1, COL14A1 ,1.90533165694067,5.5175410656188,4.84216880387476,0.000632997557376054,0.030596873359247,-0.063933124
TC08000629.hg.1, GRHL2 ,-1.905273373,5.74383035154901,-4.113335743,0.00199332399776024,0.0535320595179151,-1.191999619
TC15001837.hg.1, ANPEP ,1.90464993597659,6.46873611998336,2.62107914698538,0.0250729593125616,0.186363860623923,-3.659644353
TC08001431.hg.1, CDH17 ,-1.902601441,8.20159229587718,-2.595176125,0.026224533941004,0.191195369287856,-3.702443003
TC14001443.hg.1, FBLN5 ,1.89357228834015,6.36376910805183,3.57526279890463,0.00485942613250187,0.0807305793032814,-2.067942256
TC16000260.hg.1, PRKCB ,1.89352664272367,5.43020925539831,4.49608131446253,0.00108137572061036,0.0394118139248603,-0.590139442
TC01000525.hg.1, GUCA2B ,1.88997363408706,5.87248839219005,2.6996513810952,0.0218785937391895,0.173053394601711,-3.529413742
TC02000293.hg.1, EPCAM ,-1.888869836,7.38360304881462,-3.104257122,0.0108582747143937,0.120515912446205,-2.853249735
TC02001035.hg.1, CDCA7 ,-1.887514939,5.27260794269341,-3.91527284,0.00275612156468219,0.0619407141829452,-1.510837046
TC12001271.hg.1, GUCY2C ,-1.885038533,5.90791146993133,-2.722092017,0.0210431688064389,0.169822589750532,-3.492119434
TC08000754.hg.1, MIR1206 ,-1.884758023,3.5804462,-3.332643016,0.00733638656712829,0.0989640378488119,-2.471193403
TC05002043.hg.1, SLIT3 ,1.88469393455571,6.21666330375142,4.79888316549621,0.000676218136489996,0.0315820739335656,-0.12876128
TC03000930.hg.1, ECT2 ,-1.881328447,4.7936939549515,-5.522165914,0.000232299197874124,0.0203004167678771,0.916098604053341
TC09001336.hg.1, ASPN ,1.87990974811505,3.85487710366799,2.35396491060638,0.039788776501952,0.238648059640003,-4.096700356
TC16001128.hg.1, CES1 ,1.87952996301747,5.39386292900982,3.41957961222094,0.00632577116115171,0.091754433420416,-2.326284481
TC05000016.hg.1, SLC6A19 ,1.87634129533928,5.88169671733088,3.42717599522995,0.00624456883948334,0.091064046374459,-2.31364215
